x,y,unique_squirrel_id,shift,date,age,primary_fur_color,location,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
-73.956134493786100000,40.794082388408600000,37F-PM-1014-03,PM,10142018,,,,,False,False,False,False,False,,False,False,False,False,False,False,False,False
-73.956967090069500000,40.794879285681300000,37E-PM-1006-03,PM,10062018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True
-73.976831175100400000,40.766717807255800000,2E-AM-1010-03,AM,10102018,Adult,Cinnamon,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,True,False
-73.975724983414100000,40.769703260675500000,5D-PM-1018-05,PM,10182018,Juvenile,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,True
-73.959312669571400000,40.797533370163000000,39B-AM-1018-01,AM,10182018,,,Above Ground,,False,False,False,False,False,unknown,True,False,False,False,False,False,False,False
-73.956570038616200000,40.790256100093700000,33H-AM-1019-02,AM,10192018,Juvenile,Gray,Ground Plane,,False,False,False,False,False,wrestling with mother,False,False,False,False,False,False,False,False
-73.971973558247600000,40.769304513357800000,6G-PM-1020-02,PM,10202018,Adult,Gray,Ground Plane,,True,True,False,False,False,,False,False,False,False,False,False,True,False
-73.960260992081400000,40.794288304556600000,35C-PM-1013-03,PM,10132018,,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True
-73.977071858675400000,40.772975239143500000,7B-AM-1008-09,AM,10082018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
-73.959641390394800000,40.790312888902900000,32E-PM-1017-14,PM,10172018,Adult,Gray,,,False,False,False,True,True,,False,False,False,False,False,False,False,True
-73.970267647261300000,40.776212685489400000,13E-AM-1017-05,AM,10172018,Adult,Gray,Above Ground,on tree stump,False,False,False,False,True,,False,False,False,False,False,False,False,False
-73.968361351622500000,40.772590884749900000,11H-AM-1010-03,AM,10102018,Adult,Cinnamon,,,False,False,False,False,True,,False,False,False,False,True,False,True,False
-73.954120178979500000,40.793181170108200000,36H-AM-1010-02,AM,10102018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False
-73.958269431228900000,40.791736782025500000,33F-AM-1008-02,AM,10082018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
-73.967428595529300000,40.782972391974400000,21C-PM-1006-01,PM,10062018,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,True,True,False,False,False
-73.972250019684400000,40.774287959902600000,11D-AM-1010-03,AM,10102018,Adult,Gray,Above Ground,,False,False,True,False,False,grooming,False,False,False,False,False,False,True,False
-73.969506353533300000,40.782350767818300000,20B-PM-1013-05,PM,10132018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
-73.953217050486500000,40.791966973996200000,36I-PM-1007-01,PM,10072018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
-73.976860363067400000,40.770279590496200000,5C-PM-1010-09,PM,10102018,Adult,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False
-73.970610589696700000,40.769812482150700000,7H-AM-1006-05,AM,10062018,Adult,Gray,Above Ground,,False,True,False,False,False,,False,False,False,False,False,False,True,False
-73.970378172617200000,40.778752613032100000,16C-PM-1018-03,PM,10182018,Adult,Gray,Above Ground,,True,False,False,True,True,,False,False,False,False,False,False,True,False
-73.970392521047100000,40.776503200499200000,14E-AM-1008-23,AM,10082018,Adult,Gray,Ground Plane,,False,False,False,False,True,walking,False,False,False,False,False,False,True,False
-73.963817943974700000,40.792417326390400000,32A-PM-1013-03,PM,10132018,Juvenile,Gray,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False
-73.958407097473400000,40.791381249055700000,33F-AM-1008-01,AM,10082018,Adult,Gray,Ground Plane,,False,False,False,False,False,moving slowly,False,False,False,False,False,False,True,False
-73.967113068011400000,40.778485970017100000,17F-AM-1007-07,AM,10072018,Adult,Gray,Above Ground,,True,False,False,False,False,,False,False,False,True,False,False,True,False
-73.964986601603800000,40.776492969445700000,16I-AM-1008-01,AM,10082018,Adult,Cinnamon,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False
-73.967062855816100000,40.773499142094100000,12I-AM-1013-01,AM,10132018,Adult,Cinnamon,Ground Plane,on tree roots,False,False,False,False,False,sitting,False,False,False,False,True,False,False,True
-73.958736593111000000,40.790852437062600000,32F-PM-1008-07,PM,10082018,Adult,Gray,Ground Plane,,True,True,False,False,True,,False,False,False,False,False,False,True,False
-73.967178671525600000,40.786735279123200000,25A-AM-1013-04,AM,10132018,,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True
-73.969294329161100000,40.776953610248800000,15E-AM-1013-01,AM,10132018,Adult,Gray,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,False,False
-73.954005410053900000,40.795244599983600000,39G-PM-1013-06,PM,10132018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False
-73.957653015725500000,40.786865949039700000,29I-PM-1007-01,PM,10072018,,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,False
-73.973803325747300000,40.771184689416600000,7E-AM-1006-02,AM,10062018,Adult,Gray,Ground Plane,under a tree,False,False,False,True,False,,False,False,False,False,False,False,False,False
-73.970440268101700000,40.779896562120300000,17C-PM-1013-05,PM,10132018,Adult,Gray,Ground Plane,,False,False,False,True,False,eating (ate upside down on a tree — #jealous),False,False,False,False,False,False,True,False
-73.975697607670700000,40.775389733191800000,10A-PM-1014-01,PM,10142018,Adult,Gray,Ground Plane,in b/w trees,False,False,False,False,True,,False,False,False,False,True,False,True,False
-73.966243899668100000,40.789038180944100000,28A-PM-1007-05,PM,10072018,Adult,Cinnamon,Ground Plane,,True,False,False,False,True,,False,False,False,False,True,False,False,True
-73.964315392042800000,40.782081851695700000,22F-PM-1014-05,PM,10142018,Adult,Gray,Ground Plane,,False,False,False,False,False,,False,False,False,False,False,False,False,False
-73.974207345291300000,40.775795738046300000,12B-AM-1007-01,AM,10072018,Adult,Gray,Ground Plane,,False,True,False,False,False,,False,False,False,True,False,False,True,False
-73.971614706155300000,40.781391103617900000,18A-PM-1018-01,PM,10182018,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
-73.953541065707700000,40.792871176006100000,36H-PM-1008-02,PM,10082018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
-73.963915929844600000,40.789177463798800000,29C-AM-1007-06,AM,10072018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True
-73.957956433862700000,40.795933779502700000,38C-PM-1014-09,PM,10142018,Adult,Black,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,True,False,False
-73.957464809754300000,40.789250842862200000,31H-PM-1008-02,PM,10082018,Juvenile,Gray,Above Ground,,True,False,True,False,False,,False,False,False,False,True,False,True,False
-73.970252675331000000,40.770599958822200000,8H-AM-1017-06,AM,10172018,Adult,Gray,Above Ground,,False,True,False,True,False,,False,False,False,False,False,False,True,False
-73.957964594041400000,40.791861349840700000,34F-AM-1007-01,AM,10072018,Adult,Gray,Above Ground,,True,False,True,False,False,,False,False,False,False,False,False,False,True
-73.967325341730500000,40.774950525298100000,13H-PM-1010-02,PM,10102018,Adult,Gray,Above Ground,tree,False,False,False,False,True,,False,False,False,False,False,False,True,False
-73.964003282652900000,40.782030982544800000,22F-PM-1014-06,PM,10142018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,True,False,True,False
-73.959593319540900000,40.790584733236900000,32E-AM-1007-13,AM,10072018,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
-73.960222211670800000,40.793779699421000000,35C-AM-1007-05,AM,10072018,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
-73.968063507094900000,40.779249873647000000,17E-AM-1017-05,AM,10172018,Adult,Black,Above Ground,Branch,False,False,False,False,True,,False,False,False,False,False,False,True,False
-73.980166643540100000,40.768690533921200000,2B-PM-1013-01,PM,10132018,Adult,Gray,Ground Plane,,True,False,False,False,False,running (with nut),False,False,False,False,False,False,False,False
-73.967563432687700000,40.781347735250700000,19D-AM-1007-01,AM,10072018,Juvenile,Gray,Ground Plane,,False,False,True,True,False,,False,False,False,False,False,False,False,False
-73.958497064321300000,40.798288634869600000,40B-AM-1019-03,AM,10192018,Juvenile,Gray,Ground Plane,,True,True,False,False,False,,False,False,False,False,True,True,False,False
-73.976029824117800000,40.768195436691100000,3E-PM-1008-07,PM,10082018,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False
-73.956880214981800000,40.797239913381600000,39C-PM-1006-01,PM,10062018,Adult,Gray,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,True,False
-73.972464243639400000,40.769052644110900000,6G-AM-1008-02,AM,10082018,Juvenile,Gray,Ground Plane,bush,False,False,False,False,True,,False,False,False,False,False,False,True,False
-73.969017583853400000,40.776043272001700000,14F-AM-1007-05,AM,10072018,Juvenile,Gray,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False
-73.970408282135600000,40.769028098595600000,6I-PM-1013-06,PM,10132018,Adult,Gray,Ground Plane,,False,False,False,False,False,playing with #5,False,False,False,False,True,False,False,False
-73.968491071227200000,40.776881164002100000,15F-PM-1010-05,PM,10102018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
-73.976867481294200000,40.773523264887200000,8B-PM-1012-02,PM,10122018,Adult,Gray,Ground Plane,hiding in bushes,False,False,False,False,True,,False,False,False,False,False,False,False,True
-73.979708486661300000,40.769888524134900000,3A-PM-1017-06,PM,10172018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True
-73.952819267977000000,40.792313040279300000,36I-AM-1017-02,AM,10172018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
-73.974563003849200000,40.769260262874500000,5E-AM-1008-06,AM,10082018,Adult,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,True,False,False
-73.959500233950800000,40.790336578869400000,32E-PM-1017-13,PM,10172018,Adult,Gray,,,False,False,False,True,True,,False,False,False,False,False,False,True,False
-73.974182499229400000,40.768948665796300000,5F-PM-1007-03,PM,10072018,Adult,Gray,Ground Plane,,False,False,False,False,False,hiding nut,False,False,False,False,True,False,True,False
-73.974924390118900000,40.776139355178100000,11B-PM-1014-05,PM,10142018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
-73.968381325559000000,40.778014344377900000,16E-PM-1018-06,PM,10182018,Adult,Cinnamon,Ground Plane,On a rock,False,False,False,False,True,,False,False,False,False,True,False,True,False
-73.969424032750900000,40.775589812667400000,13F-AM-1007-02,AM,10072018,Adult,Cinnamon,,,False,False,False,True,True,,False,False,False,False,False,False,True,False
-73.968900097895500000,40.782836473523600000,20B-PM-1013-10,PM,10132018,Adult,Gray,Ground Plane,,False,False,False,False,True,drank from a pond of rain water,False,False,False,False,False,False,True,False
-73.980452886754700000,40.769675365598600000,3A-PM-1017-05,PM,10172018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False
-73.957624599245500000,40.787386251000100000,29H-PM-1006-01,PM,10062018,Adult,Gray,Above Ground,,False,False,True,False,False,sitting,False,False,False,False,False,False,True,False
-73.966600793563800000,40.784509813156700000,23C-PM-1014-03,PM,10142018,Adult,Gray,Above Ground,,False,True,False,False,False,chasing (#4 across trees),False,False,False,False,False,False,False,False
-73.961484836090000000,40.792264552190500000,33C-PM-1007-03,PM,10072018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False
-73.954665418414600000,40.794763924149100000,38G-PM-1020-09,PM,10202018,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,True,False,False,True,False
-73.966711402721400000,40.776880470247300000,16G-PM-1017-01,PM,10172018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
-73.953003556464300000,40.792182245761300000,36I-PM-1007-07,PM,10072018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
-73.961569657767300000,40.795127862239900000,35A-AM-1014-03,AM,10142018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
-73.964474836001000000,40.788384010474900000,28C-PM-1006-01,PM,10062018,Adult,Gray,Ground Plane,,False,False,False,False,False,gathering acorns,False,False,False,True,False,False,False,True
-73.961070559286800000,40.791482966105100000,32D-AM-1013-06,AM,10132018,Adult,Cinnamon,Ground Plane,,True,False,False,True,True,"eating (a mushroom),circles around us,really fat,scratching himself,grooming activity",False,False,False,False,True,True,False,False
-73.968845448358500000,40.784530128816300000,22A-AM-1008-05,AM,10082018,Adult,Gray,Above Ground,trash can,False,False,False,True,False,,False,False,False,True,False,False,False,True
-73.957823716835900000,40.798095947103400000,40B-PM-1014-06,PM,10142018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False
-73.968827120240100000,40.780971944530900000,19C-PM-1018-01,PM,10182018,Adult,Gray,Ground Plane,,True,True,False,True,False,,False,False,False,False,True,False,True,False
-73.961708874992800000,40.794458508236700000,35A-PM-1013-06,PM,10132018,Adult,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True
-73.970182482587200000,40.776653057929300000,14E-AM-1008-09,AM,10082018,Adult,Gray,Ground Plane,,True,True,False,False,False,,True,False,False,False,False,False,False,True
-73.967641049748100000,40.776604351297400000,15G-PM-1019-05,PM,10192018,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
-73.970872605072100000,40.772357203023600000,10F-AM-1007-02,AM,10072018,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
-73.954145346581700000,40.798216222376400000,42E-PM-1012-06,PM,10122018,Adult,Cinnamon,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,False,True
-73.968360829597600000,40.784292740532700000,22B-AM-1013-04,AM,10132018,Adult,Cinnamon,Ground Plane,Under bench,False,False,False,False,True,,False,False,False,False,False,False,False,True
-73.968052057989000000,40.777338666528000000,15F-PM-1010-06,PM,10102018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
-73.978718087073600000,40.771587786327400000,5A-AM-1006-05,AM,10062018,Adult,Gray,Ground Plane,near 65th St arch,False,False,False,False,True,,False,False,False,True,False,False,False,True
-73.956590586827600000,40.789565406854600000,32H-PM-1006-01,PM,10062018,,Gray,Above Ground,in the European Beech,False,False,True,False,False,,False,False,False,False,False,False,False,False
-73.956575973361100000,40.799246167480200000,42C-AM-1007-02,AM,10072018,,,,,False,False,False,False,False,,False,True,False,False,False,False,False,False
-73.955153949830600000,40.798738465625600000,41D-AM-1014-01,AM,10142018,Adult,Gray,Ground Plane,,False,False,False,False,True,digging,False,False,False,False,False,False,True,False
-73.964197181396700000,40.781353795943500000,21G-PM-1007-01,PM,10072018,Adult,Gray,Ground Plane,,False,False,False,True,False,,False,False,False,True,False,False,True,False
-73.969288397092800000,40.776855370308200000,14E-AM-1008-02,AM,10082018,Adult,Gray,Ground Plane,,True,False,False,False,True,walking,False,False,False,False,False,False,False,True
-73.970854967078800000,40.769958701905800000,7H-PM-1006-04,PM,10062018,Adult,Gray,Above Ground,on tree knob,False,False,False,False,False,sitting,False,False,False,False,False,False,True,False
-73.963974400564700000,40.782511195076400000,22F-AM-1007-01,AM,10072018,Adult,Gray,Ground Plane,,False,False,True,False,True,,False,False,False,False,False,False,True,False
-73.973027791142200000,40.771214548882800000,7F-AM-1008-16,AM,10082018,Juvenile,Gray,Above Ground,tree,False,False,False,False,False,,False,False,False,False,False,False,False,True
-73.971054140570800000,40.772469160571800000,10F-PM-1019-05,PM,10192018,Adult,Black,Above Ground,"Behind fence, tree",False,False,True,False,False,,False,False,False,False,False,False,True,False
-73.976159253248200000,40.774721358538700000,10A-AM-1006-04,AM,10062018,Juvenile,Gray,Above Ground,tree near large rock on Bridle Path,False,False,False,False,False,walking on branch,False,False,False,False,True,False,False,False
-73.954400765868500000,40.795068972313500000,38F-PM-1013-05,PM,10132018,Juvenile,Gray,Ground Plane,,False,False,False,False,True,"being chased,was pushed by other squirrel",True,True,False,False,False,False,False,False
-73.957598616136400000,40.799368134968000000,41B-PM-1014-01,PM,10142018,Adult,Gray,Above Ground,Climbing tree,False,False,True,False,False,climbing (tree),False,False,False,False,False,False,False,True
-73.960770137044300000,40.795541899085500000,36A-PM-1013-07,PM,10132018,,Gray,Ground Plane,"""FIELD""",False,True,False,False,False,chasing #8,False,False,False,False,False,False,False,True
-73.976403652298400000,40.770584618512100000,5C-AM-1006-05,AM,10062018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
-73.958924955523500000,40.790819328498100000,32E-PM-1017-03,PM,10172018,Adult,Gray,Above Ground,bottom of tree,False,False,False,True,False,still,False,False,False,False,False,False,True,False
-73.963462341876100000,40.791768540448200000,31A-PM-1017-04,PM,10172018,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,False,False
-73.952111015487200000,40.797844914331300000,42G-AM-1018-03,AM,10182018,Adult,Gray,Ground Plane,,True,False,False,False,False,stop to look at me—then ran,False,False,False,False,False,False,False,True
-73.957480902824800000,40.795001362020700000,37D-PM-1014-04,PM,10142018,Adult,Gray,Ground Plane,,False,True,False,False,True,chasing (a chipmunk),False,False,False,False,False,False,False,True
-73.967097592707000000,40.785411934253800000,24B-AM-1013-01,AM,10132018,,Gray,Above Ground,,True,False,False,True,False,took nut to bury,False,False,False,False,True,False,False,True
-73.971131879027900000,40.770194155027300000,7G-AM-1010-02,AM,10102018,Adult,Gray,Above Ground,,True,False,False,False,False,,False,False,False,False,True,False,False,True
-73.976324338377100000,40.770540931570300000,5C-PM-1010-13,PM,10102018,Adult,Gray,Above Ground,way up a tree!,False,False,True,False,False,,False,False,False,False,False,False,False,False
-73.965175446443900000,40.775518194155900000,15I-AM-1008-01,AM,10082018,Adult,Gray,Above Ground,tree,False,False,True,True,False,,False,False,False,False,False,False,True,False
-73.970010061760200000,40.781573995935700000,19B-PM-1018-01,PM,10182018,Adult,Gray,Above Ground,,True,False,False,False,False,flying,False,False,False,False,False,False,False,False
-73.971905618214000000,40.776238547063000000,13D-PM-1018-10,PM,10182018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False
-73.953004092355500000,40.792289617693600000,36I-PM-1007-10,PM,10072018,Juvenile,Gray,Ground Plane,,False,False,False,True,False,stole (found?) an entire sandwich,False,False,False,False,False,False,True,False
-73.957209376052900000,40.798848730021600000,41B-AM-1010-06,AM,10102018,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
-73.960774633797900000,40.793958106938200000,35B-AM-1010-01,AM,10102018,Adult,Gray,Ground Plane,lawn,False,False,False,False,False,walking w/ something in mouth,False,False,False,False,False,False,True,False
-73.956634604645300000,40.797392339651200000,40D-PM-1013-01,PM,10132018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,False
-73.959203888767300000,40.796382675378000000,38B-PM-1018-02,PM,10182018,Adult,Gray,Ground Plane,,False,False,False,False,True,burying nut,False,False,False,False,False,False,False,False
-73.951111871110800000,40.795081334590200000,40I-AM-1018-01,AM,10182018,Adult,Cinnamon,Ground Plane,,True,False,False,False,True,begging,False,False,False,False,False,False,False,False
-73.976993979638200000,40.772953757303500000,7B-AM-1008-10,AM,10082018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
-73.971252780951600000,40.776331039259100000,13D-AM-1014-08,AM,10142018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True
